
World Rank                   ,  Institution                   ,  Country                    
551-600  ,   Kanazawa University   , Japan    
551-600  ,   Kumamoto University   , Japan    
551-600  ,   Tokyo University of Agriculture and Technology   , Japan    
551-600  ,   Inha University   , South Korea    
551-600  ,   Ulsan University   , South Korea    
551-600  ,   Far Eastern Federal University   , Russia    
551-600  ,   Saratov State University   , Russia    
551-600  ,   Chiang Mai University   , Thailand    
551-600  ,   National Taipei University of Technology   , Taiwan    
551-600  ,   National Technical University of Ukraine   , Ukraine    
551-600  ,   Keele University   , UK    
551-600  ,   University of Bradford   , UK    
551-600  ,   University of Hull   , UK    
551-600  ,   Rhodes University   , South Africa    
551-600  ,   University of Pretoria   , South Africa    
551-600  ,   Howard University   , USA    
551-600  ,   University of Massachusetts at Boston   , USA    
551-600  ,   University of Missouri - Columbia   , USA    
551-600  ,   Syracuse University   , USA    
551-600  ,   University of Cincinnati   , USA    
551-600  ,   University of Oregon   , USA    
551-600  ,   University of South Carolina   , USA    
551-600  ,   University of Vermont   , USA    
551-600  ,   College of William and Mary   , USA    
551-600  ,   Technical University of Dortmund   , Germany    
551-600  ,   Southern Federal University   , Russia    
601-650  ,   National University de C�rdoba   , Argentina    
601-650  ,   University Torcuato di Tella   , Argentina    
601-650  ,   Central Queensland University   , Australia    
601-650  ,   University of Bras�lia   , Brazil    
601-650  ,   University of Sherbrooke   , Canada    
601-650  ,   Pontifical Catholic University of Valparaiso   , Chile    
601-650  ,   University of Concepci�n   , Chile    
601-650  ,   University of Antioqu�a   , Colombia    
601-650  ,   Masaryk University   , Czech Republic    
601-650  ,   University of Duisburg-Essen   , Germany    
601-650  ,   University of D�sseldorf   , Germany    
601-650  ,   University of Bielefeld   , Germany    
601-650  ,   University of Alcal� de Henares   , Spain    
601-650  ,   University of Seville   , Spain    
601-650  ,   University Panth�on-Assas (Paris II)   , France    
601-650  ,   University of Rennes I   , France    
601-650  ,   University of Nice-Sophia Antipolis   , France    
601-650  ,   Lingnan University   , Hong Kong    
601-650  ,   E�tv�s Lorand University   , Hungary    
601-650  ,   Bar-Ilan University   , Israel    
601-650  ,   Ajou University   , South Korea    
601-650  ,   Chonnam National University   , South Korea    
601-650  ,   Hallym University   , South Korea    
601-650  ,   Seoul University   , South Korea    
601-650  ,   M�xico Autonomous Institute of Technology   , Mexico    
601-650  ,   International Islamic University Malaysia   , Malaysia    
601-650  ,   University of Technology - Petronas   , Malaysia    
601-650  ,   Warsaw University of Technology   , Poland    
601-650  ,   Peoples' Friendship University of Russia   , Russia    
601-650  ,   University of Ljubljana   , Slovenia    
601-650  ,   Thammasat University   , Thailand    
601-650  ,   Middlesex University   , UK    
601-650  ,   University of Portsmouth   , UK    
601-650  ,   University of Ulster   , UK    
601-650  ,   University of Montevideo   , Uruguay    
601-650  ,   Catholic University Andres Bello   , Venezuela    
601-650  ,   Worcester Polytechnic Institute   , USA    
601-650  ,   University of Mississippi   , USA    
